,Paper Name,Keywords,Domains,Abstract,Publication Date,Author
70,Risk knowledge modeling for offer definition in customer-supplier relationships in Engineer-To-Order situations,"['Customer-supplier relationship', 'Offer definition', 'Engineer to order', 'Risk engineering', 'Knowledge-based system', 'Knowledge model']","[""Sciences de l'ingénieur [physics]""]","['This work deals with the customer-supplier relationship and concerns offer definition in Engineer-To-Order situations (ETO), by adopting the supplier point of view. In such cases, when the offer definition relies simply on key design choices without a detailed design, there is a specific risk (ETO-specific risk) that customer expectations cannot be fulfilled. This kind of risk is in addition to the conventional risks (non ETO-specific risk) involved in any delivery process (machine break down, resource not available, scrapped part…). In order to minimize the supplier risk of not being able to complete the offer as accepted and contracted by the customer, a knowledge-based system can be used to assist risk engineering. Consequently, this article proposes two interrelated knowledge modeling contributions. Firstly, a risk knowledge model which, when implemented in a knowledge-based system that supports risk characterization and risk treatment by using knowledge re-use techniques, is proposed and discussed. Secondly, two knowledge typologies for risk characterizations and treatments (both for ETO and non-ETO situations) in order to support risk knowledge, identification and modeling are also proposed and discussed. These contributions are innovative and groundbreaking in terms of both academics and applications: they provide a formal model to structure risk knowledge and a first list of risks and treatments to be taken into account in ETO and non ETO situations. After an introduction that presents the research gap, our objectives and an analysis of related works, our two contributions are described in two sections with respect to ISO31000 recommendations. The first section covers risk identification and evaluation while the second deals with risk treatments.']",2022,"['Delphine Guillon', 'Michel Aldanondo']"
71,Long-wave instabilities of evaporating/condensing viscous film flowing down a wavy inclined wall: Interfacial phase change effect of uniform layers,[],['Mécanique des fluides [physics.class-ph]'],"['The interfacial phase change effect on a thin film flowing down an undulated wall has been investigated in the present study. The study is performed for a general periodic undulated bottom of moderate steepness that is long compared to the film thickness, followed by a case study over the sinusoidal bottom. The long-wave instabilities of the ununiform film are used by deriving a nonlinear evolution equation in the classical long-wave expansion method framework. The one-equation model can track the free surface evolution and involve the bottom undulation, viscosity, gravity, surface tension, and phase change (evaporation/condensation) effects. Linear stability analysis shows that the bottom steepness ζ has a dual role. In the downhill region, increasing ζ destabilizes, whereas increasing ζ stabilizes in the uphill region. Weakly nonlinear waves are studied using the method of multiple scales to obtain the complex Ginzburg–Landau equation. The results show that both supercritical and subcritical solutions are possible for evaporating and condensate film. Interestingly, while one subcritical region is visible for an evaporating film, two subcritical unstable regions are found for condensate film. The numerical solution of the free-surface equation demonstrates the finite-amplitude behavior that tends to dry out for an evaporating film. For condensate film, the thickness increases rapidly. The rupture dynamics highly depend on the initial perturbation, and the bottom steepness has a negligible effect on it. Kutateladze number has a significant impact on the stability characteristic of the film flow as it represents a sort of efficiency of phase change that occurs at the interface.']",2022,['Nicolas Cellier']
72,A multicriteria Master Planning DSS for a sustainable humanitarian supply chain,"['Disaster relief operations', 'Humanitarian supply chain', 'Sustainability', 'Master Planning', 'Multi-objective decision support system', 'Sustainable supply chain']","[""Sciences de l'ingénieur [physics]""]","['Humanitarian supply chains (HSCs) contribute significantly to achieving effective and rapid responses to natural and man-made disasters. Though humanitarian organizations have during the last decades made considerable efforts to improve the response to crises in terms of effectiveness and efficiency, HSCs are still faced with so many challenges, one of which is the incorporation of sustainability dimensions (economic, social and environmental) in the management of their supply chains. In the literature, some authors have highlighted that the planning and achievement of sustainability performance objectives in humanitarian operations is hindered by the lack of decision support systems (DSS). Therefore, this paper proposes a multi-objective Master Planning DSS for managing sustainable HSCs. This Master Planning DSS includes: (1) the definition of a set of metrics for measuring the performance of a sustainable HSC; (2) an algorithm to solve the multi-objective problem; and (3) a Master Planning mathematical model to support the tactical planning of the sustainable HSC. Using the information gathered from field research and the literature, an illustrative numerical example is presented to demonstrate the implementation and utility of the proposed DSS. The results show that the order in which the three sustainability dimensions (economic, social and environmental) are prioritized has some impact on the performance measures. Therefore, it is important to fix a tolerance that would enable to obtain an acceptable balance (trade-off) between the three sustainability objectives, in line with the prioritization choice of the decision maker.']",2019,"['Laura Laguna Salvado', 'Matthieu Lauras']"
73,The Centralization and Sharing of Information for Improving a Resilient Approach Based on Decision-Making at a Local Home Health Care Center,"['home health care routing and scheduling problem', 'resilience', 'information sharing', 'discrete event simulation', 'optimization']","[""Sciences de l'ingénieur [physics]""]","['Home care centers face both an increase in demand and many variations during the execution of routes, compromising the routes initially planned; robust solutions are not effective enough, and it is necessary to move on to resilient approaches. We create a close-to-reality use case supported by interviews of staff at home health care centers, where caregivers are faced with unexpected events that compromise their initial route. We model, analyze, and compare two resilient approaches to deal with these disruptions: a distributed collaborative approach and a centralized collaborative approach, where we propose a centralization and sharing of information to improve local decision-making. The latter reduces the number of late arrivals by 11%, the total time of late arrival by 21%, and halves the number of routes exceeding the end of work time (contrary to the distributed collaborative approach due to the time wasted reaching colleagues). The use of a device, such as a smartphone application, to centralize and share information thus, allows better mutual assistance between caregivers. Moreover, we highlight several possible openings, like the coupling of simulation and optimization, to propose a more resilient approach.']",2023,"['Guillaume Dessevre', 'Cléa Martinez', 'Liwen Zhang']"
74,A systematic approach to classify and characterize genomic islands driven by conjugative mobility using protein signatures,"['Horizontal gene-transfer', 'Transfer-RNA', 'Elements', 'Resistance', 'TN916']","[""Sciences de l'ingénieur [physics]""]","[""Genomic islands (GIs) play a crucial role in the spread of antibiotic resistance, virulence factors and antiviral defense systems in a broad range of bacterial species. However, the characterization and classification of GIs are challenging due to their relatively small size and considerable genetic diversity. Predicting their intercellular mobility is of utmost importance in the context of the emerging crisis of multidrug resistance. Here, we propose a large-scale classification method to categorize GIs according to their mobility profile and, subsequently, analyze their gene cargo. We based our classification decision scheme on a collection of mobility protein motif definitions available in publicly accessible databases. Our results show that the size distribution of GI classes correlates with their respective structure and complexity. Self-transmissible GIs are usually the largest, except in Bacillota and Actinomycetota, accumulate antibiotic and phage resistance genes, and favour the use of a tyrosine recombinase to insert into a host's replicon. Non-mobilizable GIs tend to use a DDE transposase instead. Finally, although tRNA genes are more frequently targeted as insertion sites by GIs encoding a tyrosine recombinase, most GIs insert in a protein-encoding gene. This study is a stepping stone toward a better characterization of mobile GIs in bacterial genomes and their mechanism of mobility.""]",2023,['Nicolas Cellier']
75,Authoring training scenarios “from within” in an immersive environment with the CESTATE framework,"['Virtual worlds', 'Educationnal technology', 'Crisis simulation', 'Smart environment', 'Experimental learning']","[""Sciences de l'ingénieur [physics]""]","['Virtual reality (VR) can be used to train for complex, dynamic and dangerous situations, such as disaster response. The aim of this research is to support trainers with an immersive authoring tool that facilitates the implementation of training environments, enabling both the design and execution of complex and dynamic exercises. A systematic literature review was conducted to identify VR-based authoring tools. Each environment was assessed based on variability, reusability and design assistance, with each criterion graded on a 3-point scale. Following a model-driven approach, the work presented in this article introduces the CESTATE (Cascading Effect Simulation To Authoring Training Environments) framework. It uses a metamodel to design training exercises, thus ensuring their reusability. Inheriting from the [Anonymized for peer review] paradigm, this metamodel can be used to describe all types of potentialities and cascading effects. This ensures the dynamic, and therefore, the plausibility of the virtual training environment. In addition, this framework supports the design of immersive training environments, at both design and run time. It is a generic approach. Its applicability is demonstrated in several iterations of a case study involving the training of practitioners on a complex and realistic crisis situation: a fire in a cathedral.']",2024/08/13,"['Alexis Evain', 'Audrey Fertier', 'Frederick Benaben']"
76,A Heuristic-Based Genetic Algorithm for Scheduling of Multiple Projects Subjected to Resource Constraints and Environmental Responsibility Commitments,"['Resource-constrained multi-project scheduling problem', 'Environmental responsibility', 'Combinatorial optimization', 'Genetic algorithm', 'Taguchi design', 'Supply chain planning']","[""Sciences de l'ingénieur [physics]""]","['During the last decades, resource-constrained project scheduling problems have been abundantly presented in extant literature. However, there are still some real-world challenges that have not been adequately considered. These challenges include environmental commitments and constraints related to the procurement of resources (as regards procurement commitment). This calls for the integration of the project planning and forward-reverse supply chain planning systems. To achieve this goal, this paper contributes to the existing literature by presenting a model that incorporates the two issues in the integrated planning system: (1) the procurement commitment objective is met through the just-in-time delivery of non-renewable resources to the project sites while considering the limited supply capacity of suppliers, and (2) the environmental commitment is satisfied by collecting and recycling the waste generated at project sites. A mixed-integer linear formulation of the problem is proposed. Since the model is NP-hard (non-deterministic polynomial time-hard), the paper develops a new heuristic-based genetic algorithm to solve the problem instances. The main parameters of the algorithm are tuned using the Taguchi method. The results show the efficiency of the algorithm in obtaining appropriate solutions in reasonable computational times. The integrated planning model that is proposed in this paper and its novel resolution method would help managers to make more responsive and efficient decisions.']",2021,['Jacques Lamothe']
77,"Real-time data exploitation supported by model-and event- driven architecture to enhance situation awareness, application to crisis management","['event-driven architecture', 'Situation awareness', 'complex event processing', 'crisis management', 'model-driven architecture', 'EIS for public sector']",['Autre [cs.OH]'],"['An effective crisis response requires up-to-date information. The crisis cell must reach for new, external, data sources. However, new data lead to new issues: their volume, veracity, variety or velocity cannot be managed by humans only, especially under high stress and time pressure. This paper proposes (i) a framework to enhance situation awareness while managing the 5Vs of Big Data, (ii) general principles to be followed and (iii) a new architecture implementing the proposed framework. The latter merges event-driven and model-driven architectures. It has been tested on a realistic flood scenario set up by official French services.']",2020,"['Audrey Fertier', 'Aurelie Montarnal', 'Sébastien Truptil', 'Frederick Benaben']"
78,Authoring training scenarios “from within” in an immersive environment with the CESTATE framework,"['Virtual worlds', 'Educationnal technology', 'Crisis simulation', 'Smart environment', 'Experimental learning']","[""Sciences de l'ingénieur [physics]""]","['Virtual reality (VR) can be used to train for complex, dynamic and dangerous situations, such as disaster response. The aim of this research is to support trainers with an immersive authoring tool that facilitates the implementation of training environments, enabling both the design and execution of complex and dynamic exercises. A systematic literature review was conducted to identify VR-based authoring tools. Each environment was assessed based on variability, reusability and design assistance, with each criterion graded on a 3-point scale. Following a model-driven approach, the work presented in this article introduces the CESTATE (Cascading Effect Simulation To Authoring Training Environments) framework. It uses a metamodel to design training exercises, thus ensuring their reusability. Inheriting from the [Anonymized for peer review] paradigm, this metamodel can be used to describe all types of potentialities and cascading effects. This ensures the dynamic, and therefore, the plausibility of the virtual training environment. In addition, this framework supports the design of immersive training environments, at both design and run time. It is a generic approach. Its applicability is demonstrated in several iterations of a case study involving the training of practitioners on a complex and realistic crisis situation: a fire in a cathedral.']",2024/08/13,"['Alexis Evain', 'Audrey Fertier', 'Frederick Benaben']"
79,Framework for a retrospective analysis of operating room schedule execution,"['Schedule disruptions', 'Schedule deviations', 'Uncertainties', 'Continuous improvement', 'OR', 'Operating room', 'Surgical suite', 'Inductive approach', 'Retrospective analysis', 'OnOM', 'Online operational management']","[""Sciences de l'ingénieur [physics]""]","['The execution of an operating room schedule is constantly disrupted, which can decrease the initially targeted performance. Online operational management (OnOM), which oversees daily activity, can reduce the deviations caused by disruptions between the initial schedule and the performed schedule. To support this process and encourage continuous improvement, we suggest a framework for analysing schedule execution in retrospect. The objectives are twofold: 1) to identify deviations and determine their root causes; and 2) to assess the relevance of the decisions made to reduce these deviations. This approach relies on a logbook to gather qualitative data on disruptions, and a dashboard to objectify the situation with computed indicators. We present an example of a schedule execution analysis in an anonymised French General Hospital.']",2022,"['Leah Rifi', 'Franck Fontanili', 'Clea Martinez']"
80,Instability is the norm! A physics-based theory to navigate among risks and opportunities,"['Risk management', 'risks', 'opportunity', 'artificial intelligence', 'physics', 'force fields', 'system modelling', 'decision support']","['Autre', 'Intelligence artificielle [cs.AI]']","['Most decision-supports methods are dedicated to the identification and characterization of risks and opportunities. The concrete exploitation of these risks and opportunities is generally depending on the ability of users to analyze multi-dimensional situations, to mobilize their experience and to foresee consequences. In this article, a new and original data science-based vision of risk and opportunity management for decision-making purpose is introduced. The main expected benefit of this vision is to enable decision makers to manage the performance trajectory of a considered system by visualizing and combining the impact of risks and opportunity.']",2022,"['Frederick Benaben', 'Matthieu Lauras', 'Nafe Moradkhani', 'Juanqiong Gou']"
81,A decision support system for strategic supply chain capacity planning under uncertainty: conceptual framework and experiment,"['Strategic decision-making', 'supply chain', 'capacity planning', 'decision support systems', 'uncertainty', 'opportunity']","[""Sciences de l'ingénieur [physics]""]","['Supply chains now cope with a lot of uncertainties, and their stakeholders are intensely interconnected, revealing new opportunities at a tremendous pace. In this context, companies must rethink their decision support systems to remain competitive. Particularly strategic supply chain capacity planning systems that should ensure resource availability. Unfortunately, existing systems do not satisfactorily consider this new deal. Therefore, this paper develops a conceptual framework providing guidelines for designing a decision support system for strategic supply chain capacity planning under uncertainty. To validate the conceptual framework, a decision support system has been designed accordingly, and two industrial experiments have been conducted.']",2022,"['Raphaël Oger', 'Matthieu Lauras', 'Frederick Benaben']"
82,How partners’ knowledge base and complexity are related to innovative project success: The roles of trust and trust capability of partners,"['Project success', 'Innovation', 'Trust', 'Complexity', 'Knowledge', 'PLS-SEM']","[""Sciences de l'ingénieur [physics]""]","['Competitive pressures and the need for innovation are shaping strategic partnerships. Participants involved in these partnerships share knowledge, collaborate in project activities, and make joint decisions to achieve complex project objectives. However, achieving effective collaboration in partnerships is challenging due to miscommunication, missing skills, missing resources, and lack of trust. This study develops a conceptual model based on existing literature, to investigate the effect of partners’ knowledge bases, project complexity, and trust between partners on innovation and project success. We analyze the model using a survey of managers of European research projects and Partial Least Squares Structural Equation Modeling (PLS-SEM). Our results show the significant impact of changes in a project itself on its success, and the considerable impact of project complexity and trust on the ability of partners to alter the project itself. We also observe the significant impacts of similarity and complementarity of knowledge on trust between partners, and introduce the issue of whether partners jointly command the knowledge needed to complete the project, showing its importance in determining project success.']",2024,['Ioana Deniaud']
83,A force-inspired paradigm for performance-based decision support—Physics of Decision application in nonlinear dynamical systems,"['Decision Support System (DSS)', 'Performance Management', 'State-space method', 'Nonlinear systems', 'System dynamics', 'MIMO systems', 'Information Integration', 'Linear Time Invariant (LTI) systems']","[""Sciences de l'ingénieur [physics]""]","['This paper provides a perspective on performance-based decision support. The chosen approach is based on the principles of “Physics of Decision”, which considers the performance of a system as a physical trajectory within the boundaries of its performance indicators that might be deviated through variation of system parameters. According to the overall premise of employing the state-space method to simulate physical systems, this work presents a decision aggregation method in dynamic systems. The core contribution is to propose a multi-criteria performance framework to manage multi-input-multi-output (MIMO) system performance with a combination of affordable decisions. A nonlinear inventory-workforce management model has been used to demonstrate the proposed approach.']",2024,"['Frederick Benaben', 'Matthieu Lauras', 'Louis Faugere']"
84,Dynamical multi-parameter sizing of DDMRP buffers in finite capacity flow-shops,"['DDMRP', 'Demand driven materials requirement planning', 'Dynamical sizing', 'Discrete event simulation', 'Flow shop']","[""Sciences de l'ingénieur [physics]""]","['The DDMRP (Demand Driven Material Requirements Planning) methodology uses buffer stocks to (i) maintain a high level of service, (ii) stop the spread of uncertainty and (iii) adapt to market changes. According to theory, the size of these buffer stocks should be defined regularly. This sizing involves several parameters and policies to update them, but very little information is available on this subject. We aim to help practitioners choose sizing policies, while maximizing the performance of a given workshop. We have developed an experimental design to compare many combinations of flow-shops and bottleneck constraints, taken from industrial use-cases, and using discrete event simulation. The results show that (i) different degrees of dynamism are needed depending on the performance metric chosen by practitioners, (ii) completely dynamic control does not systematically lead to better performance, and (iii) contrary to what the existing literature on DDMRP suggests, varying buffer sizes may be less effective than fixed ones for an important part of use-cases.']",2023,"['Guillaume Martin', 'Matthieu Lauras']"
85,A Go/No-Go Decision-Making Model Based on Risk and Multi-Criteria Techniques for Project Selection,"['Criteria', 'Decision', 'Multicriteria', 'Project', 'Risk', 'Scenario']","[""Sciences de l'ingénieur [physics]""]","['The realization of infrastructures and the deployment of processes can follow project formalism. Generally, a project goes through a design and a realization phase. Between these two phases, there is a crucial milestone: Launching the project. Making this decision is not easy at all, and constitutes a real problem-- the main reasons to this are the numerous numbers of criteria (for technical, economic, social, environmental dimensions) and risks in the sense of feared events. Criteria and risks are most of the time not considered due to lack of time (for formalization) and the difficulty to handle them. The objective of this paper is to propose a relevant approach to make the decision of launching the project or not. The proposal outlined is innovative in that it can consider indicators based on several appropriate criteria, the associated risks, and their ways of management. The fact of considering several criteria and risks increases the probability of making the good decision.']",2023,"['Daouda Kamissoko', 'Didier Gourc', 'Antoine Clément']"
86,Plas'O'Soins : An Interactive ICT Platform to Support Care Planning and Coordination within Home-Based Care,"['Homecare', 'Coordination', 'Personalized care plan', 'Domain specific language', 'Dynamic care planning']","[""Sciences de l'ingénieur [physics]""]","[""Due to the rising demand in home healthcare services in France as well as in other European countries, homecare organizations are facing challenges in terms of coordination and continuity of care. In both cases, the problem is linked to the efficiency in which care interventions are distributed and managed among the different participants involved in home care processes. Project Plas'O'Soins which was developed within the framework of the French research program TecSan, aims to address these contemporary problems by providing an interactive ICT platform to improve coordination and continuity of care within homecare organizations.Main achievementsPlas'O'Soins, the software platform we designed, supports care specification as well as planning and monitoring of the care plans. It allows the modeling of care plans using a dedicated Domain Specific Language, the scheduling of care operations taking into account the human resources, the medical constraints and the geographical distribution of patients, and the monitoring of the execution of the operations by the care actors. This software platform enables the coordination of activities and the communication between actors and reacts to unforeseen events and produces dashboards in order to quantify the effectiveness of the processes.ConclusionThe software platform has been deployed and used in an experimental setting by homecare partner organizations, providing valuable insights on the organizational changes required by the introduction of such an ICT solution in the actual practice of homecare.""]",2019,"['Elyes Lamine', 'François Marmier', 'Hervé Pingaud', 'Michel Schneider']"
87,A new emergency decision support system: the automatic interpretation and contextualisation of events to model a crisis situation in real-time,"['Information system', 'Emergency decision support system', 'Complex event processing', 'Big Data', 'Situation awareness', 'Crisis management']","[""Sciences de l'ingénieur [physics]""]","['This paper studies, designs and implements a new type of emergency decision support system that aims to improve the decision-making of emergency managers in crisis situations by connecting them to new, multiple data sources. The system combines event-driven and model-driven architectures and is dedicated to crisis cells. After its implementation, the system is evaluated using a realistic crisis scenario, in terms of its user interfaces, its ability to interpret data in real time and its ability to manage the 4Vs of Big Data. The input events correspond to traffic measurements, water levels, water flows, water predictions and flow predictions made available by French official services. The main contributions of this study are: (i) the connection between a complex event processing engine and a graph database containing the model of the crisis situation and (ii) the continuous updating of a common operational picture for the benefit of emergency managers. This study could be used as a framework for future research works on decision support systems facing complex, evolving situations.']",2020,"['Audrey Fertier', 'Aurelie Montarnal', 'Sébastien Truptil', 'Frederick Benaben']"
88,Bi-objective multi-layer location–allocation model for the immediate aftermath of sudden-onset disasters,"['Humanitarian logistics', 'Location–allocation problem', 'Temporary distribution centers', 'Immediate response', 'Multi-objective optimization', '2015 Nepal earthquake']","[""Sciences de l'ingénieur [physics]""]","['Locating distribution centers is critical for humanitarians in the immediate aftermath of a sudden-onset disaster. A major challenge lies in balancing the complexity and uncertainty of the problem with time and resource constraints. To address this problem, we propose a location–allocation model that divides the topography of affected areas into multiple layers; considers constrained number and capacity of facilities and fleets; and allows decision-makers to explore trade-offs between response time and logistics costs. To illustrate our theoretical work, we apply the model to a real dataset from the 2015 Nepal earthquake response. For this case, our method results in a considerable reduction of logistics costs.']",2019,['Matthieu Lauras']
89,Balancing the satisfaction of stakeholders in home health care coordination: a novel OptaPlanner CSP model,"['Home Health Care Routing and Scheduling Problem', 'Constraint Satisfaction Problem and soft or', 'OptaPlanner']","[""Sciences de l'ingénieur [physics]""]","['Home Health Care Routing and Scheduling Problem (HHCRSP) has been widely investigated in operations research. In this paper, a model based on the Constraint Satisfaction Problem (CSP) is proposed, which is able to deal with daily HHCRSPs. Human factors are considered in our formulation of the problem and we seek a balance between the different stakeholders’ satisfaction criteria. The considered temporal constraints are soft and controlled by the stakeholders’ personalised tolerance and satisfaction rates. We will explain how this new Satisfaction-Oriented HHCRSP (SOH2CRSP) model is built and solved by using an open-source solver: the OptaPlanner. In order to examine the impact of human factors, a study will estimate the added value provided when satisfaction is considered in the problem formulation. The comparison is based on a use case derived from the dataset of an existing HHC organisation. The numerical results will show the benefits of our approach.']",2023,"['Liwen Zhang', 'Clea Martinez', 'Christophe Bortolaso', 'Mustapha Derras']"
90,A non-linear business process management maturity framework to apprehend future challenges,"['Business process management', 'Maturity framework', 'Non-linear framework', '3D maturity framework', 'Organization', 'Continuous improvement', 'Maturity evaluation']","[""Sciences de l'ingénieur [physics]""]","['In a context where enterprises and organizations aim to optimise their behaviour, obtain certifications and labels, and benefit from the smart use of information systems and technology, two considerations drive this research: (1) the weak maturity level of worldwide Business Process Management (BPM), which exposes the need to reconcile academic theories with industrial contexts, and (2) the need for upcoming software functionalities that prioritize removing the barriers frequently encountered by industrialists when trying to implement the method. To reach such goals, this research work has developed a conceptual framework to represent the BPM implementation state. It is built along three axes: the BPM Cycle (Design, Enact, Maintain), the Field (Culture, Business, IT) and the Abstraction Level (Data, Jobs, Behaviour). An organization’s overall BPM maturity can thus be evaluated by positioning its capabilities along the framework’s axes. It is also suggested that the framework be used to track the implementation of new procedures in an organisation. The framework is presented and detailed before being applied to a complete case study.']",2019,"['Manon Froger', 'Sébastien Truptil', 'Nicolas Boissel-Dallier']"
91,Multi-criteria performance analysis based on Physics of Decision — Application to COVID-19 and future pandemics,"['SEIR', 'Pandemic', 'Decision Support System (DSS)', 'Performance Management', 'Risk management', 'Optimization']","['Recherche opérationnelle [math.OC]', 'Autre']","['The purpose of this study is to present a novel perspective on decision support based on the conventional SEIR pandemic model paradigm considering the risks and opportunities as physical forces deviating the expected performance trajectory of a system. The impact of a pandemic is measured by the deviation of the social system’s performance trajectory within the geometrical framework of its Key Performance Indicators (KPIs). According to the overall premise of utilizing Ordinary Differential Equations to simulate epidemics, the deviations are connected to several alternative interventions. The model is essentially built on two sets of parameters: (i) social system parameters and (ii) pandemic parameters. The ultimate objective is to propose a multi-criteria performance framework to control pandemics that includes a combination of timely measures. On the one hand, the current study optimizes prospective strategies to manage the potential future pandemic, while on the other hand, it explores the COVID-19 epidemic in the state of Georgia (USA).']",2023,"['Nafe Moradkhani', 'Frederick Benaben', 'Matthieu Lauras']"
92,Supporting group decision makers to locate temporary relief distribution centres after sudden-onset disasters: A case study of the 2015 Nepal earthquake,"['Group decision-making', 'Humanitarian response', 'Multiobjective facility location', 'Monte Carlo simulation', '2015 Nepal earthquake']","[""Sciences de l'ingénieur [physics]""]","['In the humanitarian response, multiple decision-makers (DMs) need to collaborate in various problems, such as locating temporary relief distribution centres (RDCs). Several studies have argued that maximising demand coverage, reducing logistics costs and minimising response time are among the critical objectives when locating RDCs after a sudden-onset disaster. However, these objectives are often conflicting and the trade-offs can considerably complicate the situation for finding a consensus.\r\n\r\nTo address the challenge and support the DMs, we suggest investigating the stability of non-dominated alternatives derived from a multi-objective model based on Monte Carlo Simulations. Our approach supports determining what trade-offs actually matter to facilitate discussions in the presence of multiple stakeholders. To validate our proposal, we extend a location-allocation model and apply our approach to an actual data-set from the 2015 Nepal earthquake response. Our analyses show that with the relative importance of covering demands\r\n, the trade-offs between logistics costs and response time affects the numbers and locations of RDCs considerably. We show through a small experiment that the outputs of our approach can effectively support group decision-making to develop relief plans in disasters response.']",2020,['Matthieu Lauras']
93,BPRIM: An integrated framework for business process management and risk management,"['Business process management', 'Model-driven engineering', 'Risk-aware business process management', 'Enterprise risk management', 'Medication-use process', 'Meta-modeling']","[""Sciences de l'ingénieur [physics]""]","['Enterprise engineering deals with the design of processes which aim to improve the structure and efficiency of business organizations. It develops approaches based on modeling techniques, particularly on business process modeling, to ensure the quality and the global consistency of enterprise strategies and expectations. Nowadays, risk consideration in enterprise engineering is a growing concern since the business environment is becoming more and more competitive, complex, and unpredictable. To face this concern, a paradigm named risk-aware business process management (R-BPM) has recently emerged. It seeks to integrate the two traditionally isolated fields of risk management and business process management. Despite the significant benefits that can arise from the use of R-BPM, it suffers from a lack of solid scientific foundations and dedicated tooling. This present research work contributes to bridging that gap in a twofold way: (i) by establishing the BPRIM Business Process-Risk Integrated Method framework, and (ii) by designing a dedicated tool, named adoBPRIM which supports the efficient application of the BPRIM framework. This paper first comprehensively presents the foundation of BPRIM which is based on three main components and, secondly, its dedicated tool adoBPRIM which was designed using the ADOxx meta-modeling platform. An evaluation with a real case study in the health care domain shows the relevance of the methodological framework.']",2020,"['Elyes Lamine', 'Hervé Pingaud']"
94,Thermodynamic analysis in laminar falling film evaporator,"['Heat transfer', 'Evaporator', 'Entropy generation', 'Efficiency', 'Local analysis', 'Overall analysis', 'Heat transfer']","['Thermique [physics.class-ph]', 'Mécanique des fluides [physics.class-ph]']","['An evaporative laminar falling film flowing by gravity on a vertical plate heated by a heat transfer fluid is studied to determine the local temperature, entropy generation and evaporated mass flow, assuming constant saturation pressure at the free interface, in co-current and counter-current configurations. The heat transfer fluid and film energy equations are solved simultaneously through a 2D model using an implicit finite difference scheme. Local and global analysis were performed in order to study the impact of parameters such as the heat transfer fluid and film Reynolds numbers and inlet film temperature on entropy generation (thermal and viscous irreversibilities) and on thermal and evaporation efficiencies. Results show that the increase of the overall thermal entropy generation leads to the increase of the evaporated mass flow rate. Both increase with the increase of the heat transfer fluid Reynolds number and decreases with the increase of the film Reynolds number for both configurations. The inlet film temperature – overheated or subcooled inlet fluid flow - also impacts the evaporation process. The influence of the Reynolds number and temperature difference on the heat transfer coefficients of both fluids and for both configurations is also discussed']",2022,['Nicolas Cellier']
95,Building a collaborative manufacturing system’s network resilience through an adaptability potential analysis,"['Collaborative networks', 'Resilience', 'Manufacturing systems', 'Adaptability', 'Ontology', 'Innovative production']",['Gestion et management'],"['Purpose This research aims to investigate how adaptability potential analysis in collaborative manufacturing networks can be used to enhance resilience when addressing innovative production challenges that require change initiatives. Design/methodology/approach A literature review on collaborative adaptive systems showed a lack of solutions to adapt production to an unpredicted product within a network. A framework is proposed for evaluating the adaptability of collaborative networks and providing inter-system adaptation recommendations. We demonstrate the applicability of this approach through an illustrative experimentation involving a cosmetic company seeking to produce a new product, hydroalcoholic gels in the context of collaborative networks. Findings The experimentation demonstrates that the adaptability analysis based on ontology can help different manufacturing systems make decisions based on their state and limits of capabilities. Also, our adaptation recommendations may help understand the economic impacts of collaboration for different scenarios before launching. Research limitations/implications The research scope does not extend to the consideration of quantity and operational aspects. Additionally, the reconfigurability aspects within each manufacturing system, such as the reordering of layout sequences, have not been addressed yet. Practical implications The results allow organizations to compare resilience states from an individual and collaborative perspective, enabling them to make informed decisions about new production opportunities and effectively navigate the changing manufacturing landscape. Originality/value This research combines capability-based analysis and a collaborative network perspective to streamline decision-making for systems facing new production demands. It provides new insights into effectual decision-making, empowering organizations to skilfully manage unexpected challenges and identify suitable partners accordingly.']",2024,"['Raphaël Oger', 'Eric Ballot']"
96,Sliding and merging of strongly sheared droplets,"['Drops', 'Thin films', 'Wetting and wicking', 'Drops']","['Mécanique des fluides [physics.class-ph]', 'Physique mathématique [math-ph]']","['A mathematical and numerical framework is proposed to compute the displacement and merging dynamics of sliding droplets under the action of a constant shear exerted by a gas flow. An augmented formulation is implemented to model surface tension including the full curvature of the free surface. A set of shallow-water evolution equations is obtained for the film thickness, the averaged velocity, an additional quantity (with dimension of a velocity) taking into account the capillary effects and a tensor called enstrophy. The enstrophy accounts for the deviation of the velocity profile from a constant velocity distribution. The formulation is consistent with the long-wave expansion of the basic equations with a conservative part and source terms including the effect of viscosity, in the form of a viscous friction and the effect of the shear stress. The model is hyperbolic with generalised diffusion terms due to capillarity. Finally, our model is completed with a disjoining pressure formulation that is able to account for the hysteresis of the static contact angle. In this formulation, the advancing or receding nature of the contact line is assessed by the accumulation or reduction of mass of the droplet at the contact line. Simulations of sliding water droplets are performed with periodic boundary conditions in a domain of limited size. Hysteresis of the static contact angle causes a slowdown of the drops and a delay in the sequence of coalescence of the drops']",2023,['Nicolas Cellier']
