Paper Name,Keywords,Domains,Abstract,Publication Date,Author,Keyword Clusters,Paper Cluster
Continuous and multidimensional assessment of resilience based on functionality analysis for interconnected systems,"['resilience evaluation', 'simulation', 'criteria', 'decision', 'resilience assessment', 'crisis management', 'resilience', 'functionality evaluation', 'risk', 'decision criteria', 'simulations', 'critical infrastructure', 'engineer- ing systems']","['Computer-aided engineering', 'Complexity [cs.CC]', 'Modelling and simulation', 'Systems and control [cs.SY]']","['The increasing number of disruptions, from natural disasters to terrorist attacks, is today a major concern of our modern society. As a result, to the interdependent nature of infrastructures, disruptions cause domino and cascade effects. For instance, a disruption in an energy infrastructure affects a rail-transportation infrastructure that further affects other infrastructures. Mitigating the negative effects means that the infrastructures must recover in minimum time, with minimum costs their initial functioning capacity, i.e., they must be resilient. So, stakeholders must analyse the resilience of infrastructures before any disruption to anticipate the right decisions. This article studies the concepts of resilience and resilience assessment to bridges the gap between rough stakeholders’ data and resilience evaluation for interdependent systems. The result is an original toolequipped approach that combines continuous with multidimensional resilience evaluation and assessment. The approach is based on simple and generic criteria that can be extended and adapted depending on the context and needs.']",2019,"['Daouda Kamissoko', 'Frederick Benaben', 'Amendeep Amendeep']","['Cluster 4', 'Cluster 16', 'Cluster 5', 'Cluster 1', 'Cluster 4', 'Cluster 15', 'Cluster 4', 'Cluster 5', 'Cluster 6', 'Cluster 8', 'Cluster 16', 'Cluster 3', 'Cluster 3']",Cluster 4
The physics of decision approach: a physics-based vision to manage supply chain resilience,"['resilience', 'physics of decision', 'performance management', 'supply chainmanagement', 'risk management']",['Engineering sciences [physics]'],"['As instability becomes the norm, supply chain management is becoming increasingly complex and critical. As a result, supply chain managers must adapt to complex situations. Managing instability is a key expectation for these managers. One way to help them to manage this instability is to study resilience. Resilience is related to in the literature as the ability of a system to resist, adapt and recover from disruptions. Measuring and controlling supply chain resilience has therefore become a key issue for managers, especially in a context of instability. In 2013, the World Economic Forum [2013. Global Risks 2013. Davos, Switzerland: World Economic Forum] highlighted in its study, this priority for the surveyed companies to master this concept of resilience. To address this need, this paper presents an innovative approach to disruption and resilience management based on physics principles. It considers disruptions as forces that impact supply chain performance. These forces are created as a result of changes in the internal or external attributes of the supply chain. In this approach, supply chain performance is represented and visualised as a physical trajectory modelled in the framework of its performance indicators. Thus, disturbances are considered as forces that displace and deviate the supply chain's performance trajectory in its performance framework.']",2024,"['Thibaut Cerabona', 'Frederick Benaben', 'Louis Faugère']","['Cluster 4', 'Cluster 8', 'Cluster 5', 'Cluster 2', 'Cluster 6']",Cluster 4
Expert system dedicated to condition-based maintenance based on a knowledge graph approach: Application to an aeronautic system,"['cbm', 'expert system', 'knowledge graph']",['Engineering sciences [physics]'],"['Condition Based Maintenance (CBM) has become the focus of many research topics over the past decades. This is mostly related to the development of new machine learning algorithms and the ever increasing capacity to collect data allowing failures to be detected and the system’s remaining lifetime to be estimated while requiring few or no expert knowledge. However, current machine learning based CBM solutions have limitations. They require an extensive and relevant data set to train on and are performed at the component level, not system-wide. Conversely, Expert Systems (ES) do not have these restrictions but should be used on systems with available expert knowledge and are currently suffering from efficiency, scalability and applicability limits. In this paper, an ES solution for CBM based on an heterogeneous information network will be presented to address the efficiency, scalability and applicability issues of modern ES. An application to an aircraft system will be used as case study to illustrate the process and performance of this solution for anomaly detection and diagnostics.']",2021,"['Jérémy Bascans', 'Xavier Lorca', 'Sébastien Truptil']","['Cluster 1', 'Cluster 8', 'Cluster 9']",Cluster 1
Situational awareness and decision-making in a crisis situation: A crisis management cell in virtual reality,"['crisis management', 'situational awareness', 'decision-support', 'virtual reality']",['Engineering sciences [physics]'],"['In a constantly evolving and hyper-connected world, the crises we are facing are changing, exceeding borders, and impacting every sector of activity. More data can be gathered from the crisis site, arriving in a large flow of various types from multiple sources such as sensors, open data, or social media. This huge amount of data coming continuously from the crisis site leads to an ever-changing situational awareness that must be built and understood as quickly as it is evolving to ensure a relevant and effective crisis response. To build a shared situational awareness, decision-makers can gather in a room where they can share and compare the information they receive from the crisis site to build a common operational picture that they can use to make decisions and implement them: this is a crisis management cell. However, the tools in traditional crisis management cells may not be able to keep up with the new requirements induced by these changes: we need modular and dynamic tools able to adapt to the crisis and the needs of the crisis managers while ensuring collaboration and information sharing not only between the stakeholders but also with remote experts that might be needed to understand the situation. We need to start conceiving the future crisis management cell that would meet the new exigencies of crisis management. This paper proposes our version of that future crisis management cell, using virtual reality to provide a dynamic and modular crisis management cell linked to artificial intelligence and decision-support systems.']",2023,"['Aurélie Conges', 'Loïc Breard', 'Anouar Ouro-Sao', 'Nicolas Salatge', 'Audrey Fertier', 'Matthieu Lauras', 'Frederick Benaben']","['Cluster 15', 'Cluster 8', 'Cluster 8', 'Cluster 7']",Cluster 8
"Robustness, Resilience: typology of definitions through a multidisciplinary structured analysis of the literature","['structured literature review', 'definitions', 'resilience', 'robustness']",['Engineering sciences [physics]'],"['The concepts of robustness and resilience are used with increasing frequency from different sectors. The literature review reveals several meanings for each of these terms due probably to specific use in each of the sectors and a progressive adjustment of the definitions across the time. The aims of this article are to identify these definitions and the main similarities and difference between the concepts of resilience and robustness and to propose a classification of them in order to avoid confusions, bad meaning and to provide a better understanding of the subtleties under these concepts. Based on a structured analysis of the literature published in journals of different sectors this paper conceptualizes and comprehensively presents a systematic review of the recent literature on robustness and resilience definitions. Decision-makers and researchers can benefit from our survey since it introduces a structured analysis and recommendations as to which definitions can be used.']",2021,"['Antoine Clément', 'Didier Gourc', 'François Marmier', 'Daouda Kamissoko']","['Cluster 14', 'Cluster 1', 'Cluster 4', 'Cluster 18']",Cluster 14
An AI framework and a metamodel for collaborative situations: Application to crisis management contexts,"['collaboration', 'crisis management', 'data science', 'knowledge management', 'metamodel', 'model‐driven engineering', 'network', 'artificial intelligence']",['Engineering sciences [physics]'],"['Identifying, designing, deploying and maintaining accurate collaborative networks of organizations (e.g. responders in a crisis situation) are key activities in nowadays ecosystems. However, there is a lack regarding formal approaches dedicated to characterize collaborative networks of organizations. Formal descriptions of collaborative situations, that could be used, transformed, computed and exploited would be of great benefit for the quality of such collaborative networks. This article presents a model‐based AI framework for describing collaborative situations and the associated formal metamodel dedicated to be instantiated to characterize collaborative situations in a very wide range of application domains. This metamodel (describing collaborative situation between organizations) is structured according to four complementary dimensions: the context (social, physical and geographical environment), the partners (the involved organizations, their capabilities resources and relations), the objectives (the aims of the network, the goals to be the achieved and the risks to avoid, etc.) and the behaviour (the collaborative processes to be implemented by the partners to achieve the objectives in the considered context). Besides, this metamodel can be extended for some precise application domains. This article focuses on this mechanism in the specific context of crisis management.']",2020,"['Frederick Benaben', 'Audrey Fertier', 'Aurelie Montarnal', 'Zheng Jiang', 'Sébastien Truptil', 'Matthieu Lauras', 'Jacques Lamothe']","['Cluster 12', 'Cluster 15', 'Cluster 12', 'Cluster 9', 'Cluster 17', 'Cluster 17', 'Cluster 12', 'Cluster 8']",Cluster 12
Stable Heuristic Miner 2: Evaluating the Statistical Stability in Event Logs to Discover Business Processes,"['process mining', 'statistical stability phenomenon', 'automatic procees discovery', 'heuristic miner']",['Engineering sciences [physics]'],"['Abstract Automated process discovery as one of the paradigms of process mining has attracted both industries and academic researchers. These methods offer visibility and comprehension out of complex and unstructured event logs. Over the past decade, the classic heuristic miner and applied heuristic-based process discovery algorithms showed promising results in revealing the hidden process patterns in information systems. One of the challenges related to such algorithms is the arbitrary selection of recorded behaviors in an event log. The offered filtering thresholds are manually adjustable, which could lead to the extraction of a non-optimal process model. This is also visible in commercial process mining solutions. Recently, the first version of the stable heuristic miner algorithm targeted this issue by evaluating the statistical stability of an event log. However, the previous version was limited to evaluating only activities’ behaviors. In this article, we’ll be evaluating the statistical stability of both activities and edges of a graph, which could be discovered from an event log. As a contribution, the stable heuristic miner 2 is introduced. Consequently, the definition of the descriptive reference process model has improved. The novel algorithm is evaluated by using two real-world event logs. These event logs are the familiar Sepsis data set and the urology department patients’ pathways event log, which is recorded by monitoring the interpreted location data of patients on hospital premises and is shared with the scientific community in this article.']",2024,"['Franck Fontanili', 'Elyes Lamine', 'Frederick Benaben']","['Cluster 8', 'Cluster 0', 'Cluster 9', 'Cluster 20']",Cluster 8
DIAG Approach: Introducing the Cognitive Process Mining by an Ontology-Driven Approach to Diagnose and Explain Concept Drifts,"['real-time location systems', 'process mining', 'ontology', 'cognitive process mining', 'model-based system engineering', 'healthcare']",['Engineering sciences [physics]'],"['The remarkable growth of process mining applications in care pathway monitoring is undeniable. One of the sub-emerging case studies is the use of patients’ location data in process mining analyses. While the streamlining of published works is focused on introducing process discovery algorithms, there is a necessity to address challenges beyond that. Literature analysis indicates that explainability, reasoning, and characterizing the root causes of process drifts in healthcare processes constitute an important but overlooked challenge. In addition, incorporating domain-specific knowledge into process discovery could be a significant contribution to process mining literature. Therefore, we mitigate the issue by introducing cognitive process mining through the DIAG approach, which consists of a meta-model and an algorithm. This approach enables reasoning and diagnosing in process mining through an ontology-driven framework. With DIAG, we modeled the healthcare semantics in a process mining application and diagnosed the causes of drifts in patients’ pathways. We performed an experiment in a hospital living lab to examine the effectiveness of our approach.']",2023,"['Franck Fontanili', 'Elyes Lamine', 'Frederick Benaben']","['Cluster 7', 'Cluster 8', 'Cluster 9', 'Cluster 8', 'Cluster 17', 'Cluster 10']",Cluster 8
A simulation based digital twin approach to assessing the organization of response to emergency calls,"['health care economics', 'health policy']",['Other [cs.OH]'],"['In emergency situations, timely contact with emergency medical communication centers (EMCCs) is\r\ncritical for patient outcomes. Increasing call volumes and economic constraints are challenging many\r\ncountries, necessitating organizational changes inEMCCs. This study uses a simulation-based digital\r\ntwin approach, creating a virtual model of EMCC operations to assess the impact of different\r\norganizational scenarios on accessibility. Specifically, we explore two decompartmentalized\r\nscenarios where traditionally isolated call centers are reorganized to enable more flexible call\r\ndistribution. The primary measure of accessibility was service quality within 30 s of call reception. Our\r\nresults show that decompartmentalization improves service quality by 17% to 21%. This study\r\ndemonstrates that reducing regional isolation in EMCCs can enhance performance and accessibility\r\nwith a simulation-based digital twin approach providing a clear and objective method to quantify the\r\nbenefits.”']",2024,"['Clea Martinez', 'Nicolas Cellier', 'Canan Pehlivan']","['Cluster 10', 'Cluster 10']",Cluster 10
R-IO SUITE: integration of LLM-based AI into a knowledge management and model-driven based platform dedicated to crisis management,"['large language model', 'artificial intelligence', 'model-driven engineering', 'decision support system', 'knowledge base', 'ontologies', 'metamodel', 'complex event processing', 'business process management', 'large language model artificial intelligence model-driven engineering decision support system knowledge base ontologies metamodel complex event processing business process management', 'large language model', 'artificial intelligence', 'model-driven engineering', 'decision support system', 'complex event processing', 'business process management']",['Other [cs.OH]'],"['This article presents how the R-IO SUITE software platform, a decision support system for crisis management entirely based on model-driven engineering principles, considerably benefits from large language model (LLM)-based artificial intelligence (AI). The different components of the R-IO SUITE platform are used to climb the four abstraction layers: data, information, decision and action through interpretation (from data to information), exploitation (from information to decision) and implementation (from decision to action). These transitions between layers are supported by a knowledge base embedding knowledge instances structured according to a crisis management metamodel. From a functional perspective, this platform is fully operational, however, to be able to cover any type of crisis situation, the knowledge base should be enriched, first, from a 'resource perspective' (to embed the various available means to deal with any faced situation), and second, from an 'issue perspective' (to understand all risks and damage that can appear on a crisis situation). It is not reasonable to consider creating and maintaining such an exhaustive knowledge base. However, the connection of the R-IO SUITE platform with LLM software such as ChatGPT (c) makes it possible, by generating appropriate prompts, to update on-the-fly the knowledge base according to the faced context. This article shows how the LLM AI can provide complementary knowledge to formally fulfil the knowledge base to make it relevant to the faced crisis situation. This article presents the R-IO SUITE as a LLM-empowered model-driven platform to become an extended crisis management supporting system.']",2024,"['Aurélie Congès', 'Audrey Fertier', 'Nicolas Salatgé', 'Sébastien Rebière', 'Frederick Benaben']","['Cluster 9', 'Cluster 8', 'Cluster 17', 'Cluster 8', 'Cluster 9', 'Cluster 9', 'Cluster 17', 'Cluster 8', 'Cluster 3', 'Cluster 8', 'Cluster 9', 'Cluster 8', 'Cluster 17', 'Cluster 8', 'Cluster 8', 'Cluster 3']",Cluster 8
An original approach to assess the robustness of road freight transport plannings based on a dynamic risk identification,"['risk identification', 'robustness', 'decision making', 'danger', 'daily schedule', 'road freight transport']",['Engineering sciences [physics]'],"['The road freight transport sector contributes significantly to the delivery of goods. Today, more than 90% of goods are conveyed using the road transport mode. In the same time, customers' requirements become more and more numerous and accurate, which increases the complexity of planner work. The aim of this work is to propose to planners robustness indicators measuring the chance the planned tour could respect the requirements. Based on a planning system giving several feasible daily schedules, our approach allows to dynamically identify the risks that could impact each planning and then simulate the influence of those risks on the plans' activities to assess the robustness indicators. They are composed of an indicator measuring the probability to respect the customers' requirements and two actionable data. These actionable data give to planners information on levers they could use to increase the robustness of the plan.']",2022,"['Antoine Clément', 'Didier Gourc', 'Daouda Kamissoko']","['Cluster 6', 'Cluster 18', 'Cluster 8', 'Cluster 4', 'Cluster 11', 'Cluster 13']",Cluster 6
Analysis of a new dynamic capacity management approach in DDMRP: Application on a real industrial case,"['capacity management', 'ddmrp', 'dynamic adjustment', 'simulation', 'industrial case']",['Other [cs.OH]'],"['Purpose: Although the authors of the Demand Driven Material Requirements Planning (DDMRP) argue that the method DDMRP is the solution to the limitations of traditional production management methods, its capacity management system remains unclear. Since DDMRP operates at infinite capacity, it is important to consider a capacity management approach to avoid under- or overloading production workshops.Design/methodology/approach: We propose a new dynamic capacity management approach for the DDMRP method. Our approach is based on the calculation of the anticipated workload, using DDMRP stock buffers and considering customer order spikes. Considering a real industrial case, we compare the proposed approach to a static one and a dynamic approach from the literature.Findings: The analysis of the results, supported by a two-way ANOVA, indicates that the proposed capacity management approach outperforms the performance of the other two approaches by maximizing the resource loading rate while ensuring a high customer service level.Originality/value: The originality of the article comes on the one hand from the capacity adjustment module by calculating the anticipated workload, and on the other hand from the comparison of this approach with two others, one of which comes from the literature.']",2024,['Guillaume Dessevre'],"['Cluster 3', 'Cluster 1', 'Cluster 16', 'Cluster 16', 'Cluster 3']",Cluster 3
Revisiting Counting Solutions for the Global Cardinality Constraint,"['counting', 'heuristics', 'constraint programming', 'global cardinality']","['Combinatoire [math.CO]', 'Operations research [math.OC]', 'Artificial intelligence [cs.AI]', 'Engineering sciences [physics]']","['Counting solutions for a combinatorial problem has been identified as an important concern within the Artificial Intelligence field. It is indeed very helpful when exploring the structure of the solution space. In this context, this paper revisits the computation process to count solutions for the global cardinality constraint in the context of counting-based search. It first highlights an error and then presents a way to correct the upper bound on the number of solutions for this constraint.']",2019,['Charlotte Truchet'],"['Cluster 1', 'Cluster 20', 'Cluster 19', 'Cluster 14']",Cluster 1
Facilitating sustainability transition through serious games: A systematic literature review,"['sustainable development', 'game-based learning', 'serious games', 'sustainability', 'education']",['Engineering sciences [physics]'],"['Exploring aspects of how innovative methods can truly attain a sustainable society is necessary for the future of our planet. This study focuses on serious games, and how users can increase their understanding of sustainability issues and their familiarity with sustainable development strategies. “Users” of serious games consist of all possible target groups that are interested in attaining knowledge of sustainability through the use of games that are designed for a purpose beyond entertainment, in this case for sustainability education. This paper follows the systematic literature review method to deliver a study of serious games featuring sustainable development practices and policies. In order to provide a thorough analysis of their dynamic features, 77 games were explored in this study. The findings show the growing number of serious games that seek to educate in sustainability and the categorization of these games according to the triple-bottom line of sustainability, giving clarification hints to users wishing to select the relevant tool that offers an understanding of specific sustainability issues. The purpose of such research is to reveal the contribution of serious games as effective tools in facilitating sustainability education and to group them according to their nature and direction in relation to sustainability. Limitations in their effectiveness are also identified and a research agenda for new, relevant serious games is proposed that will enhance holistic knowledge and make it easier to clarify their pedagogical basis. The recipients of the findings will be all those future users and trainers who are interested in accessing sustainability education patterns through the use of serious games. This study will enable them to select the serious game that best serves their needs.']",2019,['Élise Vareilles'],"['Cluster 14', 'Cluster 8', 'Cluster 1', 'Cluster 14', 'Cluster 1']",Cluster 14
Knowledge extraction from textual data and performance evaluation in an unsupervised context,"['natural language processing', 'performance measure', 'ontological relation extraction', 'knowledge base', 'automated validation']",['Engineering sciences [physics]'],"['Among the incoming challenges in monitoring systems, the aggregation, synthesis and management of knowledge through ontological structures hold an essential place. Existing knowledge extraction systems often use a supervised approach that relies on annotated data, inducing implicitly a fastidious annotation process. Current research is towards the definition of unsupervised or semi-supervised systems, allowing a wider range of knowledge extraction. The evaluation of such systems, performing knowledge extraction using natural language processing methods requires performance indicators. The indicators usually used in such evaluations have limitations in the specific context of knowledge extraction for unsupervised ontology population. Thus, the definition of new evaluation methods becomes a need arising from the singularity of the harvested data, especially when these are not annotated. Hence, this article proposes a method for measuring performance in unsupervised context where reference data and extracted data do not overlap optimally. The proposed evaluation method is based on the exploitation of data that serve as a reference but are not specifically linked to the data used for extraction, which makes it an original evaluation method. To apply the performance measure on concrete cases, this paper also presents an unsupervised self-feeding rule-based approach for domain-independent ontology population from textual data.']",2023,['Anne-Marie Barthe-Delanoë'],"['Cluster 9', 'Cluster 5', 'Cluster 9', 'Cluster 9', 'Cluster 5']",Cluster 9
Managing events to improve situation awareness and resilience in a supply chain,"['decision support systems', 'complex event processing', 'supply chain event management', 'big data', 'metamodelling', 'situation awareness']","['Other', 'Operations research [math.OC]']","['This paper aims at improving supply chain resilience by applying a model- and event-driven architecture from the crisis management field: the AIC information system which Acquires, Interprets and Contextualizes events. It begins with a literature review on information systems able to process events in order to improve situational awareness within supply chains. It concludes that supply chain managers still lack a decision support system able to access new information in near real time. The paper describes the components of the AIC information system, and the implications for a supply chain use case. By testing the architecture on a pharmaceutical supply chain, we assess the accuracy, cost and speed of the detection of new risks. These works are made possible by the use of several data streams aggregated into a single decision-making platform. This supports the claim for a more connected supply chain. Our contributions make crisis management knowledge available to supply chain management and help improving resilient decision-making in a fast changing context.']",2021,"['Audrey Fertier', 'Guillaume Martin', 'Anne-Marie Barthe-Delanoë', 'Julien Lesbegueries', 'Aurelie Montarnal', 'Frederick Benaben', 'Nicolas Salatge']","['Cluster 8', 'Cluster 8', 'Cluster 2', 'Cluster 12', 'Cluster 1', 'Cluster 8']",Cluster 8
"Visual charts produced by simulation to correlate service rate, resource utilization and DDMRP parameters","['decision support', 'capacity management', 'decoupled lead time', 'ddmrp', 'simulation']",['Engineering sciences [physics]'],"['Demand Driven Material Requirements Planning (DDMRP) is a recent method mixing push and pull flow management. Although it claims to be the solution to traditional methods’ limitations, the DDMRP method works at infinite capacity: manufacturing or supply orders are launched according to a logic of replenishment of stocks defined as buffers. This article proposes an evaluation of capacity management using visual charts developed by simulation. These charts correlate the bottleneck resource's loading rate to a service rate by considering one of the DDMRP method parameters, the Decoupled Lead Time (DLT). The charts are a decision support tool. They allow identifying to which loading rate the DLTs are representative of the flow times of manufacturing orders and which capacity level to use. We study different workshops, including a real industrial case. Our results show that it is better to control the flow times by adjusting capacity rather than adjust the DLT parameter.']",2023,['Jacques Lamothe'],"['Cluster 8', 'Cluster 3', 'Cluster 1', 'Cluster 1', 'Cluster 16']",Cluster 1
A partner selection framework for strategic alliances based on project complexity and partner’s past experience,"['strategic alliances', 'trust', 'knowledge', 'project complexity', 'risk management', 'partner selection']",['Engineering sciences [physics]'],"['In a complex innovative project, an organisation is often not able to manage all aspects alone, due to the lack of all required compe-tencies, skills or resources. Hence, alliance formation can be a solution. To decrease the risk of potential collaboration inefficiency, partner selection happens among firms before collaboration starts. This paper proposes hypotheses based on a systematic literature review. These hypotheses consider the needs of the project and allow to characterise partner selection using a new typology. Finally, a novel framework is proposed to help decision-makers of partner selection in alliance formation. Potentials for future studies are also developed.']",2022,['Ioana Deniaud'],"['Cluster 14', 'Cluster 1', 'Cluster 9', 'Cluster 3', 'Cluster 6', 'Cluster 14']",Cluster 14
ISIEM: a methodology to deploy a knowledge-based system to support bidding process,"['deployment methodology', 'knowledge-based system', 'bidding process', 'constraint satisfaction problem', 'case-based reasoning', 'taxonomy']",['Other'],"['When responding to calls for tenders, companies must elaborate on relevant bids relative to the needs and expectations of customers (for example, in terms of price and delay). We built and deployed a knowledge-based system (KBS) to aid companies when developing bids. Based on a pre-defined generic bid model, a methodology to support companies when deploying the KBS is proposed in this paper. To capture, formalize, and reuse knowledge relevant to bids, a combination of several approaches, such as taxonomy, constraint satisfaction problem, and case-based reasoning, is proposed. The methodology is composed of five steps: Initialization, Specialization, Implementation, Exploitation, and Maintenance. A case study from a company building electrical parts of harbor lifting devices illustrates our proposal and allows validating the proposed methodology.']",2021,"['Delphine Guillon', 'Michel Aldanondo']","['Cluster 3', 'Cluster 9', 'Cluster 3', 'Cluster 19', 'Cluster 8', 'Cluster 9']",Cluster 3
A Tool-Based Framework to Assess and Challenge the Responsiveness of Emergency Call Centers,"['emergency services', 'discrete event simulation (des)', 'quality of service', 'process mining', 'responsiveness', 'emergency call centers (eccs)', 'organizations', 'data mining', 'diagnosis', 'hospitals', 'standards']",['Engineering sciences [physics]'],"['Emergency call centers (ECCs) are upstream of the prehospital emergency medical system and the life of many people depends on their effectiveness and responsiveness. This notwithstanding, the way their operations are organized and managed differs from one place to another. Also, depending on the number of incoming calls and available resources, they can operate differently. In the face of these heterogeneous situations, some ECCs do not always meet the expected performance levels: people still wait for too long before their call is answered. Moreover, they may have difficulties in managing an important upsurge of calls, especially in periods of crisis. Therefore, to support ECCs’ organizational improvement steps, this article aims to develop a tool-based framework that would enable to make clear and objective diagnoses, especially as regards responsiveness. Our proposal allows considering both nominal (normal days) and exceptional (crisis days) demands. It is based on data science, process mining, and discrete event simulation tools. By experimenting it on a French real case, the results show that such a tool-based framework can be very valuable for improving the performance of ECC organizational setups in both normal and disrupted situations.']",2020,"['Eva Petitdemange', 'Franck Fontanili', 'Elyes Lamine', 'Matthieu Lauras']","['Cluster 15', 'Cluster 17', 'Cluster 14', 'Cluster 8', 'Cluster 1', 'Cluster 15', 'Cluster 14', 'Cluster 12', 'Cluster 10', 'Cluster 10', 'Cluster 1']",Cluster 15
"Improved model for continuous, real-time assessment and monitoring of the resilience of systems based on multiple data sources and stakeholders","['functionality', 'data', 'resilience', 'organisation', 'sensor', 'road', 'decision', 'simulation', 'monitoring']",['Engineering sciences [physics]'],"['Faced with an increasing level of disruption from natural disasters, terrorist attacks or internal failures, organisations need to ensure their business continuity. Ensuring this continuity depends, among other things, on the continuous assessment, monitoring, and management of their resilience based on the variations of the functionalities. Resilience-assessment methodologies are nowadays used to (1) prepare stakeholders for future crisis management situations and (2) help stakeholders assess past levels of resilience in the aftermath of the crisis. However, continuous, real-time monitoring and assessment of resilience is generally either outside the scope of such methods or limited to raw data representation, lacking effective filtering, interpretation, or integration in the evolving context of the organisation’s activities. This paper enhances previous works on resilience assessment. The result is a complementary methodology for continuous, real-time resilience assessment and monitoring based on multiple data-sources and stakeholders. The novelty is (1) in the context of use of the methodology, (2) in the way the functionality analysis model is obtained and (3) in the way the resilience is continuously assessed.']",2023,['Daouda Kamissoko'],"['Cluster 8', 'Cluster 12', 'Cluster 4', 'Cluster 14', 'Cluster 7', 'Cluster 1', 'Cluster 1', 'Cluster 16', 'Cluster 5']",Cluster 1
Continuous and multidimensional assessment of resilience based on functionality analysis for interconnected systems,"['resilience evaluation', 'simulation', 'criteria', 'decision', 'resilience assessment', 'crisis management', 'resilience', 'functionality evaluation', 'risk', 'decision criteria', 'simulations', 'critical infrastructure', 'engineer- ing systems']","['Computer-aided engineering', 'Complexity [cs.CC]', 'Modelling and simulation', 'Systems and control [cs.SY]']","['The increasing number of disruptions, from natural disasters to terrorist attacks, is today a major concern of our modern society. As a result, to the interdependent nature of infrastructures, disruptions cause domino and cascade effects. For instance, a disruption in an energy infrastructure affects a rail-transportation infrastructure that further affects other infrastructures. Mitigating the negative effects means that the infrastructures must recover in minimum time, with minimum costs their initial functioning capacity, i.e., they must be resilient. So, stakeholders must analyse the resilience of infrastructures before any disruption to anticipate the right decisions. This article studies the concepts of resilience and resilience assessment to bridges the gap between rough stakeholders’ data and resilience evaluation for interdependent systems. The result is an original toolequipped approach that combines continuous with multidimensional resilience evaluation and assessment. The approach is based on simple and generic criteria that can be extended and adapted depending on the context and needs.']",2019,"['Daouda Kamissoko', 'Frederick Benaben', 'Amendeep Amendeep']","['Cluster 4', 'Cluster 16', 'Cluster 5', 'Cluster 1', 'Cluster 4', 'Cluster 15', 'Cluster 4', 'Cluster 5', 'Cluster 6', 'Cluster 8', 'Cluster 16', 'Cluster 3', 'Cluster 3']",Cluster 4
The physics of decision approach: a physics-based vision to manage supply chain resilience,"['resilience', 'physics of decision', 'performance management', 'supply chainmanagement', 'risk management']",['Engineering sciences [physics]'],"['As instability becomes the norm, supply chain management is becoming increasingly complex and critical. As a result, supply chain managers must adapt to complex situations. Managing instability is a key expectation for these managers. One way to help them to manage this instability is to study resilience. Resilience is related to in the literature as the ability of a system to resist, adapt and recover from disruptions. Measuring and controlling supply chain resilience has therefore become a key issue for managers, especially in a context of instability. In 2013, the World Economic Forum [2013. Global Risks 2013. Davos, Switzerland: World Economic Forum] highlighted in its study, this priority for the surveyed companies to master this concept of resilience. To address this need, this paper presents an innovative approach to disruption and resilience management based on physics principles. It considers disruptions as forces that impact supply chain performance. These forces are created as a result of changes in the internal or external attributes of the supply chain. In this approach, supply chain performance is represented and visualised as a physical trajectory modelled in the framework of its performance indicators. Thus, disturbances are considered as forces that displace and deviate the supply chain's performance trajectory in its performance framework.']",2024,"['Thibaut Cerabona', 'Frederick Benaben', 'Louis Faugère']","['Cluster 4', 'Cluster 8', 'Cluster 5', 'Cluster 2', 'Cluster 6']",Cluster 4
Optimisation of the concurrent product and process configuration: an approach to reduce computation time with an experimental evaluation,"['configuration optimization', 'process configuration', 'product configuration', 'evolutionary algorithms', 'experimentations']",['Engineering sciences [physics]'],"['Concurrent configuration of a product and its associated production process is a challenging problem in customer/supplier relations dealing with customisable or configurable products. It gathers in a single model multiple choices and constraints which come simultaneously from products (choices of components or functionalities), from processes (choices of resources and quantities) and from their mutual interrelations. Considering this problem as a Constraint Satisfaction Problem (CSP), the aim of this article is to improve its optimisation, while considering multiple objectives. Using an existing evolutionary optimisation algorithm as a basis, we propose an approach that reduces the computation time required for optimisation. The idea is first to quickly compute a rough Pareto of solutions, then ask the user to select an area of interest, and finally to launch a second computation on this restricted area. After an introduction to the problem, the approach is explained and the algorithm adaptations are presented. Then various computation experiments results demonstrate that computation times are significantly reduced while keeping the optimality level.']",2020,"['Paul Pitiot', 'Élise Vareilles', 'Paul Gaborit']","['Cluster 20', 'Cluster 3', 'Cluster 3', 'Cluster 20', 'Cluster 1']",Cluster 20
Using machine learning to predict the quality of service of a call centre for the deaf and hard of hearing according to its staffing levels,"['call centre', 'automatic learning', 'optimisation of hyperparameters', 'performance assessment']",['Other [cs.OH]'],[],2024/07/04,"['Nicolas Cellier', 'Canan Pehlivan']","['Cluster 10', 'Cluster 9', 'Cluster 20', 'Cluster 5']",Cluster 10
Virtual Reality to Train for Crisis Management,"['virtual reality', 'crisis management', 'exercises', 'decision-support system']",['Engineering sciences [physics]'],"['The EGCERSIS project aims at using virtual reality to improve the efficiency of the crisis management preparation phase. The idea is to tackle the drawbacks of regular crisis management exercises thanks to fully configurable scenarios taking place in digital twins of real critical sites. Virtual exercises will improve, among other things, the frequency, efficiency, and modularity of crisis management preparation, while reducing its costs. In this article, we demonstrate the idea of the project through a simple use-case taking place in a metro station and involving three crisis responders. By linking virtual exercises to our crisis management platform, we also want to demonstrate the usefulness of decision-support systems during a crisis.']",2020/05/24,"['Aurélie Conges', 'Alexis Evain', 'Frederick Benaben']","['Cluster 7', 'Cluster 15', 'Cluster 1', 'Cluster 8']",Cluster 7
